name,jan,feb,mar,apr,may,increase
DirectX 12 GPUs,90.37%,90.79%,94.47%,90.82%,90.40%, -0.42%
DirectX 11 GPUs,1.66%,1.46%,0.85%,1.38%,1.39%, +0.01%
DirectX 10 GPUs,0.95%,0.86%,0.51%,0.82%,0.80%, -0.02%
DirectX 9 Shader Model 2b and 3.0 GPUs,0.02%,0.02%,0.01%,0.02%,0.02%, 0.00%
DirectX 9 Shader Model 2.0 GPUs,0.00%,0.00%,0.00%,0.00%,0.00%, 0.00%
DirectX 8 GPUs and below,7.00%,6.87%,4.16%,6.96%,7.39%, +0.43%
NVIDIA GeForce GTX 1650,6.27%,6.12%,4.04%,6.19%,6.07%, -0.12%
NVIDIA GeForce GTX 1060,5.28%,5.28%,7.85%,4.99%,4.94%, -0.05%
NVIDIA GeForce RTX 3060,3.67%,4.36%,10.67%,4.66%,4.90%, +0.24%
NVIDIA GeForce RTX 3060 Laptop GPU,4.47%,4.78%,3.10%,4.51%,4.54%, +0.03%
NVIDIA GeForce RTX 2060,4.37%,4.63%,8.05%,4.45%,4.53%, +0.08%
NVIDIA GeForce GTX 1050 Ti,4.35%,4.09%,3.15%,4.05%,3.83%, -0.22%
NVIDIA GeForce RTX 3060 Ti,2.68%,2.92%,5.06%,3.13%,3.33%, +0.20%
NVIDIA GeForce RTX 3070,2.67%,2.91%,5.43%,2.95%,3.06%, +0.11%
NVIDIA GeForce RTX 3050,2.42%,2.61%,1.97%,2.71%,2.80%, +0.09%
NVIDIA GeForce GTX 1660 SUPER,2.50%,2.52%,2.36%,2.69%,2.66%, -0.03%
NVIDIA GeForce GTX 1660 Ti,2.37%,2.33%,1.79%,2.25%,2.20%, -0.05%
AMD Radeon Graphics,2.05%,1.98%,1.23%,1.99%,2.06%, +0.07%
NVIDIA GeForce GTX 1050,2.27%,2.08%,1.38%,2.04%,1.98%, -0.06%
NVIDIA GeForce RTX 3080,1.89%,1.97%,2.62%,1.94%,1.95%, +0.01%
Intel(R) Iris(R) Xe Graphics,1.70%,1.71%,1.06%,1.69%,1.76%, +0.07%
Intel(R) UHD Graphics,1.55%,1.52%,0.86%,1.50%,1.56%, +0.06%
NVIDIA GeForce GTX 1070,1.76%,1.69%,1.39%,1.61%,1.55%, -0.06%
NVIDIA GeForce RTX 2070 SUPER,1.53%,1.55%,1.74%,1.45%,1.44%, -0.01%
NVIDIA GeForce GTX 1660,1.36%,1.44%,2.55%,1.41%,1.43%, +0.02%
NVIDIA GeForce RTX 3070 Ti,1.25%,1.35%,2.03%,1.37%,1.40%, +0.03%
NVIDIA GeForce RTX 3050 Ti Laptop GPU,1.20%,1.28%,0.81%,1.28%,1.29%, +0.01%
NVIDIA GeForce RTX 2060 SUPER,1.15%,1.20%,1.96%,1.26%,1.29%, +0.03%
AMD Radeon RX 580,1.17%,1.10%,0.75%,1.11%,1.10%, -0.01%
NVIDIA GeForce GTX 1650 Ti,1.20%,1.16%,0.73%,1.13%,1.10%, -0.03%
NVIDIA GeForce RTX 2070,1.09%,1.15%,2.10%,1.08%,1.06%, -0.02%
NVIDIA GeForce GTX 1080,1.06%,1.04%,0.98%,0.98%,0.97%, -0.01%
NVIDIA GeForce RTX 3050 Laptop GPU,0.88%,0.97%,0.64%,0.93%,0.96%, +0.03%
NVIDIA GeForce RTX 3070 Laptop GPU,0.91%,0.94%,0.60%,0.88%,0.89%, +0.01%
AMD Radeon RX 570,0.91%,0.87%,0.60%,0.88%,0.85%, -0.03%
AMD Radeon Vega 8 Graphics,0.92%,0.84%,0.51%,0.83%,0.80%, -0.03%
NVIDIA GeForce GTX 1650 SUPER,0.82%,0.77%,0.53%,0.78%,0.75%, -0.03%
NVIDIA GeForce RTX 3080 Ti,0.77%,0.78%,0.62%,0.74%,0.73%, -0.01%
NVIDIA GeForce GT 1030,0.75%,0.70%,0.45%,0.69%,0.66%, -0.03%
AMD Radeon RX 5700 XT,0.63%,0.62%,0.42%,0.62%,0.63%, +0.01%
NVIDIA GeForce GTX 970,0.73%,0.68%,0.46%,0.65%,0.62%, -0.03%
NVIDIA GeForce GTX 1080 Ti,0.69%,0.64%,0.46%,0.62%,0.60%, -0.02%
NVIDIA GeForce GTX 960,0.70%,0.66%,0.65%,0.64%,0.60%, -0.04%
NVIDIA GeForce GTX 750 Ti,0.72%,0.64%,0.46%,0.63%,0.59%, -0.04%
Intel UHD Graphics 620,0.60%,0.56%,0.30%,0.53%,0.55%, +0.02%
NVIDIA GeForce RTX 2080 SUPER,0.55%,0.59%,0.80%,0.55%,0.55%, 0.00%
AMD Radeon RX 6700 XT,0.47%,0.47%,0.35%,0.53%,0.53%, 0.00%
AMD Radeon RX 6600,0.43%,0.44%,0.32%,0.49%,0.49%, 0.00%
NVIDIA GeForce RTX 3090,0.55%,0.51%,0.43%,0.51%,0.49%, -0.02%
NVIDIA GeForce GTX 1070 Ti,0.52%,0.53%,0.65%,0.50%,0.49%, -0.01%
